ID,Start Date,End Date,Address,Location,Description, Consuming Points, Minimum Occupier Rating,House Ratings,For Rent,Status,Occupiers,Request List,Comment List
H1,1673283600,1704819600,312 Nguyen Thuong Hien W.5 D. Phu Nhuan,SAIGON,This is a two-floor house with full furnitures.,100,-10,7; 8; 10,No,Rented,thach,s3912347,s3912349: A great house; s3912351: Greattttt; thach: Nice house
H2,1673283600,1704819600,276/5 Hoa Hung W.13,HANOI,This is an empty house with a garden.,100,-10,5; -2,Yes,Not Rented,none,thach,s3912352: Not bad; s3912353: Too bad
H3,1673283600,1704819600,34 Le Lai W. Pham Ngu Lao D.1,SAIGON,This is a great house for students since it is located near the bus stop. This house is great for 4 people.,100,-10,4; -2; -5; 3,No,Rented,s3912345,none,s3912352: Ugly house; s3912352: Have a lot of mouses; s3912353: A lot of cockroaches; s3912348: Good
H4,1673283600,1704819600,21B/8 Nguyen Dinh Chieu W. Da Kao D.1,SAIGON,This is a three-floor house with reasonable rent.,150,-5,9; 7,No,Rented,s3912352; s3912353; s3912350,none,s3912352: Well designed; s3912353: Greattttt
H5,,,2/8/2007 Nguyen Kiem W.3,HUE,This is a two-floor house with full furnitures.,300,-10,7.3; 5,No,Not Rented,s3912345; s3912346,none,s3912345: Not bad at all; s3912346: Not good
H6,1673283600,1704819600,Phu My Apartment W. Phu My D.7,SAIGON,This is a modern apartment with a lot of furnitures and there are a lot of convenient stores nearby. This apartment is on the 20th floor.,100,-10,2; 8; 10,No,Rented,s3912346,thach; s3912345,s3912347: Normal; s3912348: Friendly owner; s3912349: Cool
H7,,,M-One South Saigon Apartment W. Tan Kieng,HANOI,This is a modern apartment with no furnitures and there are a lot of convenient stores nearby. This apartment is on the 30th floor.,100,-10,10; 10,No,Not Rented,s3912353; s3912352,none,s3912353: Unfriendly neighbors; s3912352: Excellent
H8,,,37/14B Tran Xuan Soan W. Tan Hung D.7,SAIGON,This is a great house for sharing between students since it is located near bus stops convenient store market gasoline station etc. This rent price is negotiable,100,-10,10; 0,No,Not Rented,s3912354; s3912345,none,s3912354: Good; s3912345: Bad
H9,,,94 Mac Dinh Chi W.7,HUE,This is a 200 square meters villa with full furnitures and a pool. The rent price is negotiable.,150,-10,10,No,Not Rented,thach,s3912351,thach: Cool
H10,,,269F/202 Nguyen Trai W.5,HUE,This is a two-floor house with no furnitures and the rent price is reasonable,100,-10,-9; -9,No,Not Rented,s3912347; s3912348,none,s3912347: Haunted; s3912348: Very dirty
H11,,,160 BDT,SAIGON,Big House,100,-10,none,No,Not Rented,quannguyhiem47,none,none
H45,1673283600,1704819600,20/06 Bui Dinh Tuy F.12 Q. Cau Giay,HANOI,Haunted big villa with dark theme.,100,-10,none,No,Not Rented,none,none,none
